slug,outcome,analysis_outcome,label,category,category_label,family,data_frequency,panel_path,output_dir,figure_path,hybrid_excluded,cluster_var,reference_event_time,status,note,analysis_sample,n_panel_rows,n_observations,n_municipalities,n_municipalities_with_nonmissing_outcome,n_treated_municipalities,n_never_treated_municipalities,sample_year_min,sample_year_max,hybrid_municipalities_excluded,duplicate_unit_period_rows,event_time_step,analysis_period_note,event_time0_estimate,post_mean_event_1_8_ref0,post_abs_mean_event_1_8_ref0,n_pre_estimates,max_abs_pretrend_t,n_pre_p05,pretrend_label,n_post_estimates,pretrend_rank,post_abs_rank_value
saeb_municipal_grade5_math_media,saeb_municipal_grade5_math_media,saeb_municipal_grade5_math_media,Municipal Grade5 Math Media,education,Education outcomes,achievement,biennial,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/saeb_municipal_grade5_math_media,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_municipal_grade5_math_media_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_municipal_grade5_math_media.parquet,80740,18635,4037,3938,2721,1217,2010,2018,1534,0,2,"Biennial assessment years use analysis period = assessment year - 1, so the first post-BVR assessment is event time 0 and adjacent waves are two-year steps.",1.0050081850127914,2.1000272259769743,2.1000272259769743,3,1.3814766049899512,0,pass,3,0,2.1000272259769743
saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2,saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2,saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2,Public Estadual Municipal Grade5 Portuguese Low Levels 0 2,education,Education outcomes,achievement,biennial,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_public_estadual_municipal_grade5_portuguese_saeb_low_levels_0_2.parquet,80740,19431,4037,4028,2784,1244,2010,2018,1534,0,2,"Biennial assessment years use analysis period = assessment year - 1, so the first post-BVR assessment is event time 0 and adjacent waves are two-year steps.",-1.0307277428370871,-1.987803394460651,1.987803394460651,3,1.9076569023706007,0,pass,3,0,1.987803394460651
ieps_sus_beds_per_100k,ieps_sus_beds_per_100k,ieps_sus_beds_per_100k,IEPS SUS beds,birth_health,Birth and health outcomes,ieps,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_sus_beds_per_100k,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_beds_per_100k_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_beds_per_100k.parquet,84777,44395,4037,4036,2792,1244,2010,2020,1534,0,1,,-1.833951802113798,-1.9401021259224875,1.9401021259224875,7,1.8803830680883504,0,pass,8,0,1.9401021259224875
inep_ind_municipal_taxa_aprovacao_ef_anos_finais,inep_ind_municipal_taxa_aprovacao_ef_anos_finais,inep_ind_municipal_taxa_aprovacao_ef_anos_finais,Municipal Taxa Aprovacao Ef Anos Finais,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_aprovacao_ef_anos_finais,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_aprovacao_ef_anos_finais_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_aprovacao_ef_anos_finais.parquet,84777,37729,4037,3145,2281,864,2007,2019,1534,0,1,,-0.3284905112629778,1.911407056523892,1.911407056523892,8,1.2933530189369007,0,pass,8,0,1.911407056523892
inep_ind_municipal_taxa_abandono_ef_anos_finais,inep_ind_municipal_taxa_abandono_ef_anos_finais,inep_ind_municipal_taxa_abandono_ef_anos_finais,Municipal Taxa Abandono Ef Anos Finais,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_abandono_ef_anos_finais,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_abandono_ef_anos_finais_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_abandono_ef_anos_finais.parquet,84777,37729,4037,3145,2281,864,2007,2019,1534,0,1,,-0.1078438334638682,-1.043052280669351,1.043052280669351,8,1.5709169586576035,0,pass,8,0,1.043052280669351
inep_ind_municipal_ied_em_nivel_6,inep_ind_municipal_ied_em_nivel_6,inep_ind_municipal_ied_em_nivel_6,Municipal Ied Em Nivel 6,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ied_em_nivel_6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_6_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_6.parquet,84777,667,4037,143,97,46,2013,2020,1534,0,1,,3.1031366497014634,-1.0081235364737837,1.0081235364737837,4,1.1732887371828515,0,pass,6,0,1.0081235364737837
inep_ind_municipal_taxa_reprovacao_ef_anos_finais,inep_ind_municipal_taxa_reprovacao_ef_anos_finais,inep_ind_municipal_taxa_reprovacao_ef_anos_finais,Municipal Taxa Reprovacao Ef Anos Finais,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_ef_anos_finais,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef_anos_finais_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef_anos_finais.parquet,84777,37729,4037,3145,2281,864,2007,2019,1534,0,1,,0.4363343432426161,-0.8683547765640295,0.8683547765640295,8,1.3024787684951062,0,pass,8,0,0.8683547765640295
inep_ind_municipal_taxa_reprovacao_ef,inep_ind_municipal_taxa_reprovacao_ef,inep_ind_municipal_taxa_reprovacao_ef,Municipal Taxa Reprovacao Ef,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_ef,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef.parquet,84777,52118,4037,4026,2784,1242,2007,2019,1534,0,1,,0.1390463206888619,-0.7360625125586598,0.7360625125586598,8,1.5546438403108471,0,pass,8,0,0.7360625125586598
inep_ind_municipal_atu_ef_anos_finais,inep_ind_municipal_atu_ef_anos_finais,inep_ind_municipal_atu_ef_anos_finais,Municipal Atu Ef Anos Finais,education,Education outcomes,school_inputs,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/school_inputs/inep_ind_municipal_atu_ef_anos_finais,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_atu_ef_anos_finais_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_atu_ef_anos_finais.parquet,84777,41339,4037,4017,2779,1238,2007,2020,1534,0,1,,-0.3735474520054272,-0.697528516538783,0.697528516538783,8,1.1842963231942312,0,pass,8,0,0.697528516538783
inep_ind_municipal_taxa_reprovacao_em,inep_ind_municipal_taxa_reprovacao_em,inep_ind_municipal_taxa_reprovacao_em,Municipal Taxa Reprovacao Em,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_em,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_em_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_em.parquet,84777,1829,4037,450,335,115,2007,2019,1534,0,1,,0.3780139618380105,-0.6248527389009857,0.6248527389009857,8,1.8026341325205395,0,pass,8,0,0.6248527389009857
inep_ind_publica_ird_baixa_regularidade,inep_ind_publica_ird_baixa_regularidade,inep_ind_publica_ird_baixa_regularidade,Publica Ird Baixa Regularidade,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_publica_ird_baixa_regularidade,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ird_baixa_regularidade_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ird_baixa_regularidade.parquet,84777,32288,4037,4036,2792,1244,2013,2020,1534,0,1,,0.4076889079990906,0.6034052140409595,0.6034052140409595,4,1.660412285043698,0,pass,6,0,0.6034052140409595
inep_ind_municipal_ird_baixa_regularidade,inep_ind_municipal_ird_baixa_regularidade,inep_ind_municipal_ird_baixa_regularidade,Municipal Ird Baixa Regularidade,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ird_baixa_regularidade,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ird_baixa_regularidade_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ird_baixa_regularidade.parquet,84777,32266,4037,4034,2790,1244,2013,2020,1534,0,1,,0.2097713345191273,0.5360895608024246,0.5360895608024246,4,1.829937892532768,0,pass,6,0,0.5360895608024246
saeb_municipal_grade5_portuguese_media,saeb_municipal_grade5_portuguese_media,saeb_municipal_grade5_portuguese_media,Municipal Grade5 Portuguese Media,education,Education outcomes,achievement,biennial,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/saeb_municipal_grade5_portuguese_media,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_municipal_grade5_portuguese_media_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_municipal_grade5_portuguese_media.parquet,80740,18635,4037,3938,2721,1217,2010,2018,1534,0,2,"Biennial assessment years use analysis period = assessment year - 1, so the first post-BVR assessment is event time 0 and adjacent waves are two-year steps.",0.8922613883133791,0.4792170868961811,0.4792170868961811,3,1.705917505381466,0,pass,3,0,0.4792170868961811
sinasc_lowedu_prenatal_adequate_share_known_pp,sinasc_lowedu_prenatal_adequate_share_known_pp,sinasc_lowedu_prenatal_adequate_share_known_pp,Adequate prenatal visits share: Low education proxy,birth_health,Birth and health outcomes,sinasc_lowedu,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_prenatal_adequate_share_known_pp,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_prenatal_adequate_share_known_pp_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,SINASC outcomes inside the BDD health screen.,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_prenatal_adequate_share_known_pp.parquet,84777,27970,4037,4036,2792,1244,2014,2020,1534,0,1,,0.4671038524248036,0.3558520945399394,0.3558520945399394,3,1.6864610550548575,0,pass,4,0,0.3558520945399394
ieps_sus_icu_beds_per_100k,ieps_sus_icu_beds_per_100k,ieps_sus_icu_beds_per_100k,IEPS SUS ICU beds,birth_health,Birth and health outcomes,ieps,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_sus_icu_beds_per_100k,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_icu_beds_per_100k_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_icu_beds_per_100k.parquet,84777,44395,4037,4036,2792,1244,2010,2020,1534,0,1,,0.1125401359843566,0.2906427577103494,0.2906427577103494,7,1.4560636795323454,0,pass,8,0,0.2906427577103494
imun_bcg_pp,imun_bcg_pp,imun_bcg_pp,BCG coverage,birth_health,Birth and health outcomes,immunization,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/immunization/imun_bcg_pp,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/imun_bcg_pp_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/imun_bcg_pp.parquet,84777,84548,4037,4036,2792,1244,2000,2020,1534,0,1,,-0.0278656902792264,0.27751695440903623,0.27751695440903623,8,1.7265605878082275,0,pass,8,0,0.27751695440903623
sinasc_highedu_low_apgar1_share_known_pp,sinasc_highedu_low_apgar1_share_known_pp,sinasc_highedu_low_apgar1_share_known_pp,Low Apgar 1 share: High education proxy,birth_health,Birth and health outcomes,sinasc_highedu,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu/sinasc_highedu_low_apgar1_share_known_pp,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu_low_apgar1_share_known_pp_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,SINASC outcomes inside the BDD health screen.,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu_low_apgar1_share_known_pp.parquet,84777,84296,4037,4036,2792,1244,2000,2020,1534,0,1,,0.1273813834422346,0.26679957260709963,0.26679957260709963,8,0.9286189949070792,0,pass,8,0,0.26679957260709963
sinasc_lowedu_low_birthweight_share_total_pp,sinasc_lowedu_low_birthweight_share_total_pp,sinasc_lowedu_low_birthweight_share_total_pp,Low-birthweight share: Low education proxy,birth_health,Birth and health outcomes,sinasc_lowedu,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_low_birthweight_share_total_pp,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_low_birthweight_share_total_pp_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,SINASC outcomes inside the BDD health screen.,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_low_birthweight_share_total_pp.parquet,84777,84312,4037,4036,2792,1244,2000,2020,1534,0,1,,0.4221591608603041,-0.21705713490474207,0.21705713490474207,8,1.9399443143989643,0,pass,8,0,0.21705713490474207
inep_ind_publica_ied_ef_nivel_5,inep_ind_publica_ied_ef_nivel_5,inep_ind_publica_ied_ef_nivel_5,Publica Ied Ef Nivel 5,education,Education outcomes,teacher_profile,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_publica_ied_ef_nivel_5,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ied_ef_nivel_5_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ied_ef_nivel_5.parquet,84777,32288,4037,4036,2792,1244,2013,2020,1534,0,1,,0.1469093552264516,0.19443135494579056,0.19443135494579056,4,1.6152729601619618,0,pass,6,0,0.19443135494579056
inep_transition_total_taxa_repetencia_em,inep_transition_total_taxa_repetencia_em,inep_transition_total_taxa_repetencia_em,Total Taxa Repetencia Em,education,Education outcomes,dropout_flow,annual,data/clean/downstream/bdd_education_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_transition_total_taxa_repetencia_em,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_transition_total_taxa_repetencia_em_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,,data/interim/downstream_bjs_ref0_nonhybrid/education/annual/inep_transition_total_taxa_repetencia_em.parquet,84777,52267,4037,4030,2786,1244,2008,2020,1534,0,1,,0.0082643309808759,-0.14717133265129728,0.14717133265129728,8,1.949150371885768,0,pass,8,0,0.14717133265129728
sinasc_lowedu_very_low_birthweight_share_total_pp,sinasc_lowedu_very_low_birthweight_share_total_pp,sinasc_lowedu_very_low_birthweight_share_total_pp,Very-low-birthweight share: Low education proxy,birth_health,Birth and health outcomes,sinasc_lowedu,annual,data/clean/downstream/bdd_health_bvr_screen_panel_2000_2020.parquet,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_very_low_birthweight_share_total_pp,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_very_low_birthweight_share_total_pp_bjs_ref0_nonhybrid.png,True,municipality_id,0,ok,SINASC outcomes inside the BDD health screen.,data/interim/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_very_low_birthweight_share_total_pp.parquet,84777,84312,4037,4036,2792,1244,2000,2020,1534,0,1,,0.1071325927167299,-0.11216758279645182,0.11216758279645182,8,1.3078565666858428,0,pass,8,0,0.11216758279645182
